category,subcategory,subsubcategory,description,default_stakes
Customer/Client,Set expectations,Scope,Clarify what is in/out.,high
Customer/Client,Set expectations,Timeline,Set timeline and cadence.,normal
Customer/Client,Set expectations,Success criteria,Define what success looks like.,high
Customer/Client,Build trust,Credibility,"Be clear, prepared, and consistent.",normal
Customer/Client,Build trust,Responsiveness,Respond in a way that reduces anxiety.,normal
Customer/Client,Build trust,Clarity,Say what will happen next.,normal
Customer/Client,Handle friction,Pushback,Handle disagreement or skepticism.,high
Customer/Client,Handle friction,Change request,Manage scope or direction changes.,high
Customer/Client,Handle friction,Disappointment,Repair a miss without excuses.,high
Customer/Client,Expand,Next value,Identify the next useful step.,normal
Customer/Client,Expand,Renewal,Support renewal with outcomes.,normal
Customer/Client,Expand,Referral,Ask for introductions appropriately.,normal
Admin & Coordination,Schedule,Book time,Schedule the thing with purpose.,normal
Admin & Coordination,Schedule,Prep,Prep for a meeting or event.,normal
Admin & Coordination,Schedule,Protect time,Block focus time and defend it.,normal
Admin & Coordination,Process tasks,Expenses,Submit expenses or reimbursements.,normal
Admin & Coordination,Process tasks,Approvals,Process approvals or sign-offs.,normal
Admin & Coordination,Process tasks,Forms,Complete required forms.,normal
Admin & Coordination,Track and follow up,Waiting on,Track what you are waiting for.,normal
Admin & Coordination,Track and follow up,Reminders,Send a nudge that gets action.,normal
Admin & Coordination,Track and follow up,Confirm,Confirm completion and close the loop.,normal
Admin & Coordination,Handoff,Brief,Create a short brief for someone else.,normal
Admin & Coordination,Handoff,Artifacts,"Share the right docs, links, and context.",normal
Admin & Coordination,Handoff,Ownership,Make ownership and next steps explicit.,normal
Admin & Coordination,Reset the system,Lists,Clean up task lists and priorities.,normal
Admin & Coordination,Reset the system,Files,Organize files so you can find things.,normal
Admin & Coordination,Reset the system,Inbox zero,Clear and reset your inbox.,normal
